ilapothecary Powerful Purifying Face Scrub 50g,https://www.lookfantastic.com/ilapothecary-powerful-purifying-face-scrub-50g/12032520.html,Exfoliator,"['mel', 'sodium cocoyl hydrolyzed soy protein', 'rosa damascena', 'prunus domestica flower extract', 'garnet exfoliator', 'caprylyl capryl glucoside', 'glycerin', 'glycerin', 'sodium levulinate', 'sodium anisate', 'p-anisic acid', 'glyceryl caprylate', 'hydroxyethyl cellulose', 'pogostemon cablin flower extract', 'petitgrain bigarde oil']",£27.00
Chantecaille Hibiscus and Bamboo Exfoliating Cream,https://www.lookfantastic.com/chantecaille-hibiscus-and-bamboo-exfoliating-cream/11219063.html,Exfoliator,"['rosa damascena', 'capric triglyceride', 'c12-20', 'polylactic acid', 'propanediol', 'dimethicon', 'glycolic acid', 'glyceryl stearate', 'cetyl alcohol', 'magnesium aluminum silicate', 'sodium hydroxide', 'glycerin', 'phenoxyethanol', 'xanthan gum', 'potassium cetyl phosphate', 'saccharide isomerate', 'titanium dioxide', 'polyacrylamide', 'ethylhexyl glycerin', 'c13-14 isoparaffin', 'disodium edta', 'hibiscus sabdariffa flower extract', 'citrus nobilis oil', 'citrus grandis', 'laureth-7', 'rosa damascena', 'peg-8', 'acacia decurrens wax', 'jasminum grandiflorum flower extract', 'narcissus poeticus flower wax', 'sodium hyaluronate', 'lecithin', 'citric acid', 'papain', 'sodium citrate', 'tocopherol', 'ascorbyl palmitate', 'bambusa arundinacea stem extract', 'ascorbic acid', 'hexanoyl dipeptide-3 norleucine acetate', 'limonene', 'citronellol', 'geraniol', 'linalool']",£73.00
Avant Skincare Velvet Perfecting Rose Sugar Lip Scrub 10ml,https://www.lookfantastic.com/avant-skincare-velvet-perfecting-rose-sugar-lip-scrub-10ml/12542197.html,Exfoliator,"['allantoin', 'argania spinosa extract', 'butylene glycol', 'carbomer', 'ci 17200', 'citric acid', 'disodium edta', 'ethylhexyl glycerin', 'fructose', 'glucose', 'glycerin', 'maltose', 'paeonia lactiflora root extract', 'parfum', 'dimethicon', 'pentylene glycol', 'phenoxyethanol', 'potassium sorbate', 'propylene glycol', 'prunus amygdalus dulcis', 'simmondsia chinensis leaf extract', 'sodium benzoate', 'sodium chloride', 'sodium hyaluronate', 'sodium hydroxide', 'sodium lactate', 'sodium pca', 'sucrose', 'trehalose', 'urea']",£58.00
Löwengrip Advanced Skin Care Cell Renewal Facial Exfoliant 75ml,https://www.lookfantastic.com/lowengrip-advanced-skin-care-cell-renewal-facial-exfoliant-75ml/12081475.html,Exfoliator,"['propylene glycol', 'cocamidopropyl dimethylamine', 'polyquaternium-37', 'salicylic acid', 'glycolic acid', 'castor oil', 'phenoxyethanol', 'caprylyl glycol', 'bisabolol', 'sodium hydroxide', 'parfum']",£43.00
Talika Skintelligence Hydra Face Gentle Scrub 50ml,https://www.lookfantastic.com/talika-skintelligence-hydra-face-gentle-scrub-50ml/12281553.html,Exfoliator,"['paraffin', 'kaolin', 'glyceryl stearate', 'stearic acid', 'butylene glycol', 'cetyl alcohol', 'dimethicon', 'glycerin', 'phenoxyethanol', 'sodium hydroxide', 'chlorphenesin', 'prunus amygdalus dulcis', 'tetrasodium edta', 'chamomilla recutita flower oil', 'citric acid', 'propanediol', 'sodium benzoate', 'potassium sorbate', 'ci 14700', 'chlorella vulgaris extract', 'lactic acid']",£27.90
INIKA Phytofuse Renew Caviar Lime Exfoliator,https://www.lookfantastic.com/inika-phytofuse-renew-caviar-lime-exfoliator/12450160.html,Exfoliator,"['aloe barbadenis extract', 'glycerin', 'hydrogenated jojoba oil', 'pumice', 'decyl glucoside', 'bambusa arundinacea stem extract', 'xanthan gum', 'microcitrus australasica fruit extract', 'selaginella lepidophylla extract', 'simmondsia chinensis leaf extract', 'persea gratissima oil', 'argania spinosa extract', 'rosa canina flower oil', 'citrus aurantium bergamia', 'lavandula angustifolia', 'pelargonium graveolens extract', 'citrus limon juice extract', 'citrus aurantifolia oil', 'lactobacillus', 'sodium levulinate', 'citric acid', 'sodium anisate', 'potassium sorbate', 'benzyl alcohol', 'limonene', 'linalool', 'geraniol', 'citronellol', '']",£33.00
Westlab Epsom Salt 1kg,https://www.lookfantastic.com/westlab-epsom-salt-1kg/11227746.html,Bath Salts,['magnesium sulfate'],£3.33
Westlab Epsom Salt 5kg,https://www.lookfantastic.com/westlab-epsom-salt-5kg/11227748.html,Bath Salts,['magnesium sulfate'],£14.99
Westlab Dead Sea Salt 1kg,https://www.lookfantastic.com/westlab-dead-sea-salt-1kg/10546715.html,Bath Salts,['maris sal'],£3.33
Westlab Dead Sea Salt 5kg,https://www.lookfantastic.com/westlab-dead-sea-salt-5kg/11227744.html,Bath Salts,['maris sal'],£14.99
